0,"Italian former Premier Silvio Berlusconi has once again put himself at odds with current Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the nearly year-old Russian invasion"
1,"Former Premier Silvio Berlusconi has once again put himself at odds with Premier Giorgia Meloni by openly criticizing her for meeting with Ukraine’s leader, whom he blamed for the year-old Russian invasion"
2,The small coal-mining town of Vuhledar on Ukraine’s eastern front line has emerged as a critical hot spot in the fight for Donetsk province
3,"Amid inflation, power-grid cuts and other pressures applied by Russia and spilling over from the war in Ukraine, Moldova’s government resigned Friday."
4,President Joe Biden will travel to Poland later this month to rally allies a year after Russia’s assault on Ukraine began
5,Fierce battles in eastern Ukraine have thrown a new spotlight on a private Russian military group led by a rogue millionaire with longtime links to Russia’s President Vladimir Putin
6,Efforts to build Kyiv military capacity are both about the current fight and what comes after
7,U.S. troops will teach Ukrainian forces how to use the Patriot missile defense system at Fort Sill. The training could start as soon as next week.
8,"The Russian private mercenary group now has 40,000 convicts in battle, taken directly from Russian prisons, U.S. officials say."
9,Russian President Vladimir Putin said there was no need to mobilize more soldiers now.
10,Snubs in recent months from Kazakhstan to Tajikistan mark a regional realignment that will only sharpen as sanctions and isolation erode Russia's economic power. 
11,Abandoned pets roam the streets of ruined front-line towns and villages.
12,Moscow and Tehran have agreed on a plan to assemble Iranian-designed weapons on Russian soil.
13,"Since Vladimir Putin’s invasion of Ukraine, a torrent of Russians have arrived in Dubai — seeking refuge from military mobilization and international sanctions."
14,Gen. Mark Milley has drawn scrutiny for suggesting that winter may present Ukraine an opportunity to explore a peace deal with Russia.
15,NATO Secretary General Jens Stoltenberg said Wednesday that the explosion in Poland on Tuesday that claimed two lives was probably caused by a Ukrainian missile defending against Russian attack.
16,"At the G-20 in Bali and COP27 in Egypt, Russia has found itself in an unusual position — a leading topic of discussion rather than a leading player."
17,"The Polish government said a Russian-made missile fell into the village of Przewodów, about five miles from the Ukrainian border."
18,"The Group of 20, a club of nations that was founded to tackle the 2008 financial crisis, is desperately seeking a second act."
